category,gender,product_url,product_name,brand,price,discounted_price,price_tier,combined_tier,image_url,source_platform,local_image_path,price_numeric,price_category
Shoes,Women,https://culture-circle.com/products/all/golden-goose-wmns-hi-star-white-gold-silver,Golden Goose Wmns Hi Star 'White Gold Silver',Golden,148999.0,92717.0,expensive,expensive,https://cdn.shopify.com/s/files/1/0570/7389/3509/t/1/assets/1746779752_GWF00119_F003219_10380_png.png?v=1746779753,Culture Circle,golden-goose-wmns-hi-star-white-gold-silver-golden.jpg,148999.0,Luxury
Shoes,Women,https://culture-circle.com/products/all/ferragamo-janine-crystal-heel-sandals-black-womens,Ferragamo Janine Crystal Heel Sandals Black (Women's),Ferragamo,150999.0,94129.0,expensive,expensive,https://images.stockx.com/images/Ferragamo-Janine-Crystal-Heel-Sandals-Black-Womens.jpg,Culture Circle,ferragamo-janine-crystal-heel-sandals-black-womens-ferragamo.jpg,150999.0,Luxury
Shoes,Women,https://culture-circle.com/products/all/ferragamo-azha-x5-wrap-tie-heels-blue-womens,Ferragamo Azha X5 Wrap Tie Heels Blue (Women's),Ferragamo,91999.0,57449.0,expensive,expensive,https://images.stockx.com/images/Ferragamo-Azha-X5-Wrap-Tie-Heels-Blue-Womens.jpg,Culture Circle,ferragamo-azha-x5-wrap-tie-heels-blue-womens-ferragamo.jpg,91999.0,Luxury
Shoes,Women,https://culture-circle.com/products/all/miu-miu-leather-sandal-heels-black-womens,Miu Miu Leather Sandal Heels Black (Women's),Miu,218999.0,136359.0,expensive,expensive,https://images.stockx.com/images/Miu-Miu-Leather-Sandal-Heels-Black-Womens.jpg,Culture Circle,miu-miu-leather-sandal-heels-black-womens-miu.jpg,218999.0,Luxury
Shoes,Women,https://culture-circle.com/products/all/valentino-rockstud-leather-block-heel-booties-rose-womens,Valentino Rockstud Leather Block Heel Booties Rose (Women's),Valentino,124999.0,77819.0,expensive,expensive,https://images.stockx.com/images/Valentino-Rockstud-Leather-Block-Heel-Booties-Rose-Womens.jpg,Culture Circle,valentino-rockstud-leather-block-heel-booties-rose-womens-valentino.jpg,124999.0,Luxury
Shoes,Women,https://culture-circle.com/products/all/prada-wmns-downtown-leather-platinum-gold,Prada Wmns Downtown Leather 'Platinum Gold',Prada,101999.0,63161.0,expensive,expensive,https://cdn.shopify.com/s/files/1/0570/7389/3509/t/1/assets/1746875100_1E792M_3LMG_F056X_png.png?v=1746875101,Culture Circle,prada-wmns-downtown-leather-platinum-gold-prada.jpg,101999.0,Luxury
Shoes,Women,https://culture-circle.com/products/all/alexander-mcqueen-wmns-wander-loafer-white,Alexander McQueen Wmns Wander Loafer 'White',Alexander,96999.0,60281.0,expensive,expensive,https://cdn.shopify.com/s/files/1/0570/7389/3509/t/1/assets/1746778141_685690_WHZ81_9499_png.png?v=1746778141,Culture Circle,alexander-mcqueen-wmns-wander-loafer-white-alexander.jpg,96999.0,Luxury
Shoes,Women,https://culture-circle.com/products/all/alexander-mcqueen-wmns-oversized-sneaker-rose-gold-glitter,Alexander McQueen Wmns Oversized Sneaker 'Rose Gold Glitter',Alexander,95999.0,59975.0,expensive,expensive,https://cdn.shopify.com/s/files/1/0570/7389/3509/t/1/assets/1746778152_goalalmcwmovsnrogoglshgo_photo1.png?v=1746778153,Culture Circle,alexander-mcqueen-wmns-oversized-sneaker-rose-gold-glitter-alexander.jpg,95999.0,Luxury
Shoes,Women,https://culture-circle.com/products/all/alexander-mcqueen-wmns-punk-chelsea-boot-black,Alexander McQueen Wmns Punk Chelsea Boot 'Black',Alexander,185999.0,115883.0,expensive,expensive,https://cdn.shopify.com/s/files/1/0570/7389/3509/t/1/assets/1746785149_718857_WHSWE_1081_png.png?v=1746785151,Culture Circle,alexander-mcqueen-wmns-punk-chelsea-boot-black-alexander.jpg,185999.0,Luxury
Shoes,Women,https://culture-circle.com/products/all/carolina-herrera-good-girl-edp-for-women,Carolina Herrera Good Girl EDP for Women,Carolina,17999.0,10674.0,expensive,expensive,https://cdn.culture-circle.com/media/cc_images_url_creator/1747037294_goodgirledp_1-removebg-preview.png,Culture Circle,carolina-herrera-good-girl-edp-for-women-carolina.jpg,17999.0,Luxury
Shoes,Women,https://culture-circle.com/products/all/gucci-wmns-gg-ankle-boot-beige-goguguwmgganbobeshbr_g_659691_uc810_9066,Gucci Wmns GG Ankle Boot 'Beige',Gucci,62999.0,39169.0,expensive,expensive,https://cdn.shopify.com/s/files/1/0570/7389/3509/t/1/assets/1747128258_659691_UC810_9066_png.png?v=1747128259,Culture Circle,gucci-wmns-gg-ankle-boot-beige-gucci.jpg,62999.0,Luxury
Shoes,Women,https://culture-circle.com/products/all/ferragamo-f-heel-100mm-slingback-pumps-black-womens,Ferragamo F-Heel 100mm Slingback Pumps Black (Women's),Ferragamo,96999.0,60159.0,expensive,expensive,https://images.stockx.com/images/Ferragamo-F-Heel-100mm-Slingback-Pumps-Black-Womens.jpg,Culture Circle,ferragamo-fheel-100mm-slingback-pumps-black-womens-ferragamo.jpg,96999.0,Luxury
Shoes,Women,https://culture-circle.com/products/all/ferragamo-f-heel-rhinestone-pumps-blue-womens,Ferragamo F-Heel Rhinestone Pumps Blue (Women's),Ferragamo,112999.0,70289.0,expensive,expensive,https://images.stockx.com/images/Ferragamo-F-Heel-Rhinestone-Pumps-Blue-Womens.jpg,Culture Circle,ferragamo-fheel-rhinestone-pumps-blue-womens-ferragamo.jpg,112999.0,Luxury
Shoes,Women,https://culture-circle.com/products/all/ferragamo-era-patent-leather-mules-blue-womens,Ferragamo Era Patent Leather Mules Blue (Women's),Ferragamo,74999.0,46329.0,expensive,expensive,https://images.stockx.com/images/Ferragamo-Era-Patent-Leather-Mules-Blue-Womens.jpg,Culture Circle,ferragamo-era-patent-leather-mules-blue-womens-ferragamo.jpg,74999.0,Luxury
Shoes,Women,https://culture-circle.com/products/all/balmain-monogrammed-stiletto-pumps-brown-black-womens,Balmain Monogrammed Stiletto Pumps Brown Black (Women's),Balmain,220999.0,137599.0,expensive,expensive,https://images.stockx.com/images/Balmain-Monogrammed-Stiletto-Pumps-Brown-Black-Womens.jpg,Culture Circle,balmain-monogrammed-stiletto-pumps-brown-black-womens-balmain.jpg,220999.0,Luxury
Shoes,Women,https://culture-circle.com/products/all/ferragamo-anser-x5-leather-pumps-red-womens,Ferragamo Anser X5 Leather Pumps Red (Women's),Ferragamo,70999.0,44109.0,expensive,expensive,https://images.stockx.com/images/Ferragamo-Anser-X5-Leather-Pumps-Red-Womens.jpg,Culture Circle,ferragamo-anser-x5-leather-pumps-red-womens-ferragamo.jpg,70999.0,Luxury
Shoes,Women,https://culture-circle.com/products/all/ferragamo-farrah-slip-on-leather-pumps-black-womens,Ferragamo Farrah Slip-On Leather Pumps Black (Women's),Ferragamo,90999.0,56579.0,expensive,expensive,https://images.stockx.com/images/Ferragamo-Farrah-Slip-On-Leather-Pumps-Black-Womens.jpg,Culture Circle,ferragamo-farrah-slipon-leather-pumps-black-womens-ferragamo.jpg,90999.0,Luxury
Shoes,Women,https://culture-circle.com/products/all/valentino-garavani-one-stud-pumps-purple-womens,Valentino Garavani One Stud Pumps Purple (Women's),Valentino,129999.0,80909.0,expensive,expensive,https://images.stockx.com/images/Valentino-Garavani-One-Stud-Pumps-Purple-Womens.jpg,Culture Circle,valentino-garavani-one-stud-pumps-purple-womens-valentino.jpg,129999.0,Luxury
Shoes,Women,https://culture-circle.com/products/all/balenciaga-x-crocs-madame-80mm-black-womens,Balenciaga x Crocs Madame 80MM Black (Women's),Balenciaga,117999.0,73129.0,expensive,expensive,https://images.stockx.com/images/Balenciaga-x-Crocs-Madame-80MM-Black-W.jpg,Culture Circle,balenciaga-x-crocs-madame-80mm-black-womens-balenciaga.jpg,117999.0,Luxury
